ARTÍCULO,DESCRIPCIÓN,CANAL,SUBCANAL,CLIENTE,2025-01-01 00:00:00_kg,2025-02-01 00:00:00_kg,2025-03-01 00:00:00_kg,2025-04-01 00:00:00_kg,2025-05-01 00:00:00_kg,2025-06-01 00:00:00_kg,2025-07-01 00:00:00_kg,2025-08-01 00:00:00_kg,2025-09-01 00:00:00_kg,2025-10-01 00:00:00_kg,2025-11-01 00:00:00_kg,2025-12-01 00:00:00_kg,2026-01-01 00:00:00_kg,2026-02-01 00:00:00_kg,2026-03-01 00:00:00_kg,2026-04-01 00:00:00_kg,2026-05-01 00:00:00_kg,2026-06-01 00:00:00_kg,2026-07-01 00:00:00_kg,2025-01-01 00:00:00_ing,2025-02-01 00:00:00_ing,2025-03-01 00:00:00_ing,2025-04-01 00:00:00_ing,2025-05-01 00:00:00_ing,2025-06-01 00:00:00_ing,2025-07-01 00:00:00_ing,2025-08-01 00:00:00_ing,2025-09-01 00:00:00_ing,2025-10-01 00:00:00_ing,2025-11-01 00:00:00_ing,2025-12-01 00:00:00_ing,2026-01-01 00:00:00_ing,2026-02-01 00:00:00_ing,2026-03-01 00:00:00_ing,2026-04-01 00:00:00_ing,2026-05-01 00:00:00_ing,2026-06-01 00:00:00_ing,2026-07-01 00:00:00_ing
1043.0,LA CABRA FELIZ,DISTRIBUIDORES,RESTO DISTRIBUIDORES,"000898-JOSÉ XARGAYÓ, S.A. (BLOQ )",41.535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,525.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1045.0,QUESO CABRA SEMICURADO MONTESINOS,DISTRIBUIDORES,RESTO DISTRIBUIDORES,"000855-CASA BASTIDA, S.L. ( BLOQ )",0.0,0.0,0.0,14.87,30.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177.7,360.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1050.0,ERMITA DE SAN LORENZO,DISTRIBUIDORES,RESTO DISTRIBUIDORES,"000898-JOSÉ XARGAYÓ, S.A. (BLOQ )",44.45,0.0,0.0,14.855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,562.29,0.0,0.0,187.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1078.0,"QUESO BARRA TIERNO 2,6 KG ""CAMPO ADENTRO""",DISTRIBUIDORES,RESTO DISTRIBUIDORES,"000763-BENIBALDO, S.A.U. (BLOQ.)",0.0,0.0,0.0,111.465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,886.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1078.0,"QUESO BARRA TIERNO 2,6 KG ""CAMPO ADENTRO""",DISTRIBUIDORES,RESTO DISTRIBUIDORES,"000854-EL CONCHEL D´GUSTO, S.L.U. (BLOQ.)",67.61,171.33,185.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,510.46,1293.54,1417.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1078.0,"QUESO BARRA TIERNO 2,6 KG ""CAMPO ADENTRO""",DISTRIBUIDORES,RESTO DISTRIBUIDORES,"000890-OCEANÍA FOOD SELECTION, S.L. ( bloq)",0.0,0.0,23.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1082.0,"QUESO SEMICURADO 3 KG ""CAMPO ADENTRO""",DISTRIBUIDORES,RESTO DISTRIBUIDORES,000942-MIGUEL ANGEL LAGUNA ORTIZ (BLOQ.),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,509.68,1022.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4051.96,8129.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1082.0,"QUESO SEMICURADO 3 KG ""CAMPO ADENTRO""",INDUSTRIALES & FOOD SERVICE,RESTO INDUSTRIALES & FOODSERVICE,"000885-OBRADOR LEVADURAMADRE, S.L. (BLOQ.)",0.0,0.0,0.0,305.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2364.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1099.0,MURCIA AL VINO DOP MONTESINOS 1 u/c,CASH & CARRY,MAKRO,000621-MAKRO DISTRIBUCIÓN MAYORISTA SA,0.0,22.055,24.54,21.46,47.55,64.053,37.005,7.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,325.15,361.79,316.39,701.02,944.33,545.57,112.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1227.0,RULO FRESCO DE CABRA 1 KG,CASH & CARRY,MAKRO,000621-MAKRO DISTRIBUCIÓN MAYORISTA SA,780.0,873.0,1170.0,1377.0,1041.0,1152.0,1377.0,1164.0,-12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7282.08,8150.33,10923.12,10155.67,8157.29,9495.08,12855.67,10867.1,-112.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
